"","id","issue","rcid","file id","comment","status","unit"
"21",120,"planned submission passed but no received date","GlO1802","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>GLO1802_Refugee_Housing_M&E_Tanzania_Analysis_1</a>","","","data"
"22",121,"planned submission passed but no received date","GlO1802","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>GLO1802_Refugee_Housing_M&E_Tanzania_Presentation_1</a>","Preliminary Presentation","","reporting"
"23",123,"planned submission passed but no received date","GLO1802","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>GLO1802_Refugee_Housing_M&E_Tanzania_M&E_1</a>","","","research design"
"24",124,"planned submission passed but no received date","GLO1802","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>GLO1802_Refugee_Housing_M&E_Tanzania_LL_1</a>","","","research design"
"25",139,"planned submission passed but no received date","IRQ1702","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>IRQ1702_Informal_Site_RASP_2018_Report_1</a>","Coming - considered as low priority","","reporting"
"26",151,"planned submission passed but no received date","IRQ1704b","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>IRQ1704b_UNHCR_PDM_CRI_Report_1</a>","No batch for the CRI assessment","","reporting"
"27",161,"planned submission passed but no received date","IRQ1704b","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>IRQ1704b_UNHCR_PDM_CRI_Data_1</a>","No batch for the CRI assessment","","data"
"28",165,"planned submission passed but no received date","IRQ1704b","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>IRQ1704b_UNHCR_PDM_CRI_Analysis_1</a>","No batch for the CRI assessment","","data"
"29",193,"planned submission passed but no received date","IRQ1805","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>IRQ1805_SIRA_Maps</a>","","","GIS"
"30",196,"planned submission passed but no received date","IRQ1805","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>IRQ1805 FGD transcript</a>","","1 not received","data"
"31",218,"planned submission passed but no received date","ITA1801","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>ITA1801_Mixed_Migration_Italy_assessment_Output_1</a>","","","other"
"32",221,"planned submission passed but no received date","ITA1801","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>ITA1801_Mixed_Migration_Italy_assessment_Data_1</a>","","1 not received","data"
"33",222,"planned submission passed but no received date","ITA1801","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>ITA1801_Mixed_Migration_Italy_assessment_Analysis_1</a>","","1 not received","data"
"34",226,"planned submission passed but no received date","ITA1802","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>ITA1802_Mixed_Migration_Lybians_Italy_Dataset_1</a>","","1 not received","data"
"35",236,"planned submission passed but no received date","JOR1711","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>JOR1711_ECHO Protection Project_Endline_Report</a>","","","reporting"
"36",237,"planned submission passed but no received date","JOR1711","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>JOR1711_ECHO Protection Project_Endline_Presentation</a>","Preliminary Presentation","","reporting"
"37",238,"planned submission passed but no received date","JOR1711","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>JOR1711_ECHO_Protection_Project_Monitoring_M&E_1</a>","","","research design"
"38",239,"planned submission passed but no received date","JOR1711","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>JOR1711_ECHO_Protection_Project_Monitoring_LL_1</a>","","","research design"
"39",242,"planned submission passed but no received date","JOR1711a","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>JOR1711a_ECHO_Protection_Cash_Assistance_Data</a>","","1 not received","data"
"40",243,"planned submission passed but no received date","JOR1711a","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>JOR1711a_ECHO_Protection_Cash_Assistance_Analysis</a>","","1 not received","data"
"41",248,"planned submission passed but no received date","JOR1803","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>JOR1803_WFP_CFSVA_Report</a>","Delayed due to consolidation of REACH and WFP chapters","","reporting"
"42",284,"planned submission passed but no received date","KEN1801","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>KEN1801_infrastructure_mapping_Dadaab_Data_1</a>","received post publication; low prio","2 with HQ","data"
"43",285,"planned submission passed but no received date","KEN1801","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>KEN1801_infrastructure_mapping_Dadaab_Data_2</a>","","1 not received","data"
"44",286,"planned submission passed but no received date","KEN1801","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>KEN1801_infrastructure_mapping_Dadaab_Analysis_1</a>","received post publication; low prio","2 with HQ","data"
"45",287,"planned submission passed but no received date","KEN1801","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>KEN1801_infrastructure_mapping_Dadaab_Analysis_2</a>","","1 not received","data"
"46",291,"planned submission passed but no received date","KEN1802","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>KEN1802_HH_needs_assessment_Data_1</a>","","2 with HQ","data"
"47",292,"planned submission passed but no received date","KEN1802","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>KEN1802_HH_needs_assessment_Analysis_1</a>","","2 with HQ","data"
"48",296,"planned submission passed but no received date","KEN1804","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>KEN1804_cross_border_monitoring_November_Dadaab_Final_Presentation_1</a>","","","reporting"
"49",297,"planned submission passed but no received date","KEN1804","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>KEN1804_cross_border_monitoring_November_Dadaab_Preliminary_Presentation_1</a>","","","reporting"
"50",298,"planned submission passed but no received date","KEN1804","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>KEN1804_cross_border_monitoring_November_Dadaab_M&E_1</a>","","","research design"
"51",299,"planned submission passed but no received date","KEN1804","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>KEN1804_cross_border_monitoring_Dadaab_LL_1</a>","","","research design"
"52",302,"planned submission passed but no received date","LBY1702","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>LBY1702 JMMI 12-18</a>","","1 not received","data"
"53",323,"planned submission passed but no received date","LBY1802b","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>LBY1802b_Mixed Migration 2nd Thematic_Access to food, shelter & NFIs, WASH and assistance_Situation Overview_1</a>","","with partner","other"
"54",327,"planned submission passed but no received date","LBY1802c","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>LBY1802c_Mixed_Migration_Trend_Monitoring_Routes_2_SO_1</a>","","","other"
"55",328,"planned submission passed but no received date","LBY1802c","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>LBY1802c_Mixed_Migration_Trend_Monitoring_Routes_2_M&E_1</a>","","","research design"
"56",329,"planned submission passed but no received date","LBY1802c","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>LBY1802c_Mixed_Migration_Trend_Monitoring_Routes_2_LL_1</a>","","","research design"
"57",330,"planned submission passed but no received date","LBY1802c","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>LBY1802c_Mixed_Migration_Trend_Monitoring_Routes_2_Data_1</a>","KIs and IIs","1 not received","data"
"58",331,"planned submission passed but no received date","LBY1802c","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>LBY1802c_Mixed_Migration_Trend_Monitoring_Routes_2_Analysis_1</a>","KIs and IIs","1 not received","data"
"59",344,"planned submission passed but no received date","LBY1804","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>LBY1804_MSNA_2018_M&E_1</a>","","","research design"
"60",345,"planned submission passed but no received date","LBY1804","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>LBY1804_MSNA_2018_LL_1</a>","","","research design"
"61",361,"planned submission passed but no received date","NER1806","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NER1806_IDP Refugee Protection Diffa_Analysis</a>","1/2 validated","2 with HQ","data"
"62",362,"planned submission passed but no received date","NER1807","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NER1807_Mapping_Sayam_Refugee_Camp_M&E_1</a>","","","research design"
"63",363,"planned submission passed but no received date","NER1807","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NER1807_Mapping_Sayam_Refugee_Camp_LL_1</a>","","","research design"
"64",364,"planned submission passed but no received date","NER1807","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NER1807_Mapping_Sayam_Refugee_Camp_Data_1</a>","","2 with HQ","data"
"65",365,"planned submission passed but no received date","NER1807","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NER1807_Mapping_Sayam_Refugee_Camp_Analysis_1</a>","","1 not received","data"
"66",367,"planned submission passed but no received date","NER1808","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NER1808_Diffa_WASH_Evaluation_II_Presentation_1</a>","","","reporting"
"67",370,"planned submission passed but no received date","NER1808","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NER1808_Diffa_WASH_Evaluation_II_Analysis_1</a>","","1 not received","data"
"68",372,"planned submission passed but no received date","NER1809","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NER1809_Evaluation_Multisectorielle_Migrants_Agadez_Data_KII</a>","Data from key informant interviews","1 not received","data"
"69",373,"planned submission passed but no received date","NER1809","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NER1809_Evaluation_Multisectorielle_Migrants_Agadez_Analysis_KII</a>","Data from key informant interviews","1 not received","data"
"70",374,"planned submission passed but no received date","NER1809","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NER1809_Evaluation_Multisectorielle_Migrants_Agadez_Data_II</a>","Data from individual interviews","1 not received","data"
"71",375,"planned submission passed but no received date","NER1809","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NER1809_Evaluation_Multisectorielle_Migrants_Agadez_Analysis_II</a>","Data from individual interviews","1 not received","data"
"72",384,"planned submission passed but no received date","NGA1701b","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NGA1701b_LGA_Settlement_Profiling_Q2_Data_1</a>","","2 with HQ","data"
"73",385,"planned submission passed but no received date","NGA1701b","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NGA1701b_LGA_Settlement_Profiling_Q2_Analysis_1</a>","","2 with HQ","data"
"74",386,"planned submission passed but no received date","NGA1701b","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NGA1701b_LGA_Settlement_Profiling_Q2_Factsheet_1</a>","","","reporting"
"75",394,"planned submission passed but no received date","NGA1805","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NGA1805_mapping_DFID_actors_TOR_1</a>","TORs requested (Dec 2018) but very limited capacity in country at the moment","pending","research design"
"76",396,"planned submission passed but no received date","NGA1806a","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NGA1806a_DFID_TPM_Education_Data_1_Household</a>","","1 not received","data"
"77",397,"planned submission passed but no received date","NGA1806a","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NGA1806a_DFID_TPM_Education_Data_2_KII_Teachers</a>","","1 not received","data"
"78",398,"planned submission passed but no received date","NGA1806a","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NGA1806a_DFID_TPM_Education_Data_3_KII_Community</a>","","1 not received","data"
"79",399,"planned submission passed but no received date","NGA1806a","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NGA1806a_DFID_TPM_Education_Data_4_Observations</a>","","1 not received","data"
"80",400,"planned submission passed but no received date","NGA1806a","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NGA1806a_DFID_TPM_Analysis_1_Household</a>","","1 not received","data"
"81",401,"planned submission passed but no received date","NGA1806a","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NGA1806a_DFID_TPM_Analysis_2_KII_Teachers</a>","","1 not received","data"
"82",402,"planned submission passed but no received date","NGA1806a","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NGA1806a_DFID_TPM_Analysis_3_KII_Community</a>","","1 not received","data"
"83",403,"planned submission passed but no received date","NGA1806a","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NGA1806a_DFID_TPM_Analysis_4_Observations</a>","","1 not received","data"
"84",404,"planned submission passed but no received date","NGA1806a","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NGA1806a_DFID_TPM_Factsheets</a>","","","reporting"
"85",405,"planned submission passed but no received date","NGA1806a","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NGA1806a_DFID_TPM_M&E</a>","","","research design"
"86",406,"planned submission passed but no received date","NGA1806a","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NGA1806a_DFID_TPM_LL</a>","","","research design"
"87",409,"planned submission passed but no received date","NGA1807a","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NGA1807_thematic_assessments_TOR_1</a>","Only to be launched once few rounds of  TPM done next year, as the TPM results will determine the scope of the ad-hocs","pending","research design"
"88",410,"planned submission passed but no received date","NGA1808","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NGA1808_Arrivals_assessment_Presentation_1</a>","","","reporting"
"89",418,"planned submission passed but no received date","NGA1809","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NGA1809_HTR_asessment_Data_FGD_Nov2018</a>","","1 not received","data"
"90",419,"planned submission passed but no received date","NGA1809","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NGA1809_HTR_asessment_Data_KII_Nov2018</a>","","2 with HQ","data"
"91",420,"planned submission passed but no received date","NGA1809","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NGA1809_HTR_asessment_Analysis_FGD_Nov2018</a>","","1 not received","data"
"92",421,"planned submission passed but no received date","NGA1809","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>NGA1809_HTR_asessment_Analysis_KII_Nov2018</a>","","1 not received","data"
"93",434,"planned submission passed but no received date","SOM1707","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>SOM1707_DSA_Round2_Factsheets</a>","","","reporting"
"94",435,"planned submission passed but no received date","SOM1707","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>SOM1707_DSA_Round2_Data_1</a>","","","data"
"95",437,"planned submission passed but no received date","SOM1707","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>SOM1707_DSA_Round2_Analysis_1</a>","","","data"
"96",438,"planned submission passed but no received date","SOM1707a","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>SOM1707a_DSA_Water_mapping_Data_1</a>","","","data"
"97",439,"planned submission passed but no received date","SOM1707a","<a href=https://docs.google.com/spreadsheets/d/1wX5k3cETrCbnw4vpfY07eSzTyWX6AwmJmxJQwPahrSk/edit#gid=1191173775&range=4>SOM1707a_DSA_Water_mapping_Analysis_1</a>","","","data"
